IDENTIFICACION,IDENTIFICACION TAXONOMICA,NOMBRE CIENTIFICO,CLASIFICACION SUPERIOR,REINO,FILO,CLASE,ORDEN,FAMILIA,GENERO,EPITETO ESPECIFICO,EPITETO INFRAESPECIFICO,RANGO DE TAXON,NOMBRE CIENTIFICO 1,NOMBRE VERNACULO,CODIGO NOMENCLATURA,ESTADO TAXONOMICO,TAXON OBSERVACIONES,LENGUAJE,ESTADO DE AMENAZA
gbif.org/species/3548724,gbif.org/species/3548724,Arthonia obscurella,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Arthoniaceae | Arthonia,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,obscurella,NA,Especie,Müll.Arg.,NA,ICN,Aceptado,Nombre original validado: Arthonia obscurella | Nuevo taxón incluido,es,CR
gbif.org/species/3548779,gbif.org/species/3548779,Arthonia septemlocularis,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Arthoniaceae | Arthonia,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,septemlocularis,NA,Especie,Müll.Arg.,NA,ICN,Aceptado,Nombre original validado: Arthonia septemlocularis | Nuevo taxón incluido,es,CR
gbif.org/species/10800176,gbif.org/species/10800176,Ancistrosporella leucophila,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Roccellaceae | Ancistrosporella,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Ancistrosporella,leucophila,NA,Especie,(Nyl.) Ertz,NA,ICN,Aceptado,Nombre original validado: Ancistrosporella leucophila | Nuevo taxón incluido,es,CR
gbif.org/species/10874088,gbif.org/species/10874088,Byssoloma permutans,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Roccellaceae | Byssoloma,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Byssolomataceae,Byssoloma,permutans,NA,Especie,(Nyl.) Lücking,NA,ICN,Aceptado,Nombre original validado: Byssoloma permutans | Nuevo taxón incluido,es,CR
gbif.org/species/5516240,gbif.org/species/5516240,Lecanactis proximans,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Roccellaceae | Lecanactis,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Lecanactis,proximans,NA,Especie,(Nyl.) Zahlbr.,NA,ICN,Aceptado,Nombre original validado: Lecanactis proximans | Nuevo taxón incluido,es,CR
gbif.org/species/8654330,gbif.org/species/8654330,Schismatomma leucopsarum,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Roccellaceae | Schismatomma,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Schismatomma,leucopsarum,NA,Especie,(Nyl.) Zahlbr.,NA,ICN,Aceptado,Nombre original validado: Schismatomma leucopsarum | Nuevo taxón incluido,es,CR
gbif.org/species/10706304,gbif.org/species/10706304,Bogoriella apposita,Fungi | Ascomycota | Dothideomycetes | Trypetheliales | Trypetheliaceae | Bogoriella,Fungi,Ascomycota,Dothideomycetes,Trypetheliales,Trypetheliaceae,Bogoriella,apposita,NA,Especie,(Nyl.) Aptroot & Lücking,NA,ICN,Aceptado,Nombre original validado: Bogoriella apposita | Nuevo taxón incluido,es,VU
gbif.org/species/3396450,gbif.org/species/3396450,Bacidia proposita,Fungi | Ascomycota | Lecanoromycetes | Lecanorales | Ramalinaceae | Bacidia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Bacidia,proposita,NA,Especie,(Nyl.) Zahlbr.,NA,ICN,Aceptado,Nombre original validado: Bacidia proposita | Nuevo taxón incluido,es,CR
gbif.org/species/8394955,gbif.org/species/8394955,Badimia vezdana,Fungi | Ascomycota | Lecanoromycetes | Lecanorales | Ramalinaceae | Badimia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Badimia,vezdana,NA,Especie,"Lücking, Farkas & V.Wirth",NA,ICN,Aceptado,Nombre original validado: Badimia vezdana | Nuevo taxón incluido,es,CR
gbif.org/species/3395819,gbif.org/species/3395819,Ramalina bogotensis,Fungi | Ascomycota | Lecanoromycetes | Lecanorales | Ramalinaceae | Ramalina,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,bogotensis,NA,Especie,Nyl.,NA,ICN,Aceptado,Nombre original validado: Ramalina bogotensis | Nuevo taxón incluido,es,CR
gbif.org/species/3395240,gbif.org/species/3395240,Ramalina protensa,Fungi | Ascomycota | Lecanoromycetes | Lecanorales | Ramalinaceae | Ramalina,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,protensa,NA,Especie,(Nyl.) Nyl.,NA,ICN,Aceptado,Nombre original validado: Ramalina protensa | Nuevo taxón incluido,es,CR
gbif.org/species/7490376,gbif.org/species/7490376,Gyalideopsis chicaque,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Gomphillaceae | Gyalideopsis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Gomphillaceae,Gyalideopsis,chicaque,NA,Especie,Moncada & Lücking,NA,ICN,Aceptado,Nombre original validado: Gyalideopsis chicaque | Nuevo taxón incluido,es,CR
gbif.org/species/10673444,gbif.org/species/10673444,Fissurina linoana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Fissurina,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Fissurina,linoana,NA,Especie,"Lucking, Moncada & G.Rodr.",NA,ICN,Aceptado,Nombre original validado: Fissurina linoana | Nuevo taxón incluido,es,CR
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829817,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829817,Graphis amaliana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,amaliana,NA,Especie,"Amórtegui, Moncada & Lücking",NA,ICN,Aceptado,Nombre original validado: Graphis amaliana | Nuevo taxón incluido,es,EN
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829818,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829818,Graphis carmenelisana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,carmenelisana,NA,Especie,"Moncada, Motta & Lücking",NA,ICN,Aceptado,Nombre original validado: Graphis carmenelisana | Nuevo taxón incluido,es,CR
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829819,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829819,Graphis kavintuca,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,kavintuca,NA,Especie,"Motta, Moncada & Lücking",NA,ICN,Aceptado,Nombre original validado: Graphis kavintuca | Nuevo taxón incluido,es,EN
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:828115,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:828115,Graphis lurizana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,lurizana,NA,Especie,"Lücking, Moncada & Celis",NA,ICN,Aceptado,Nombre original validado: Graphis lurizana | Nuevo taxón incluido,es,CR
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:828116,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:828116,Graphis mokanarum,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,mokanarum,NA,Especie,"Lücking, Moncada & M.C. Martínez",NA,ICN,Aceptado,Nombre original validado: Graphis mokanarum | Nuevo taxón incluido,es,CR
gbif.org/species/2602041,gbif.org/species/2602041,Graphis rosalbiana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,rosalbiana,NA,Especie,NA,NA,ICN,Aceptado,Nombre original validado: Graphis rosalbiana | Nuevo taxón incluido,es,CR
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829821,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829821,Graphis santanderiana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,santanderiana,NA,Especie,"Motta, Moncada & Lücking",NA,ICN,Aceptado,Nombre original validado: Graphis santanderiana | Nuevo taxón incluido,es,CR
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829822,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829822,Graphis solmariana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,solmariana,NA,Especie,"Motta, Moncada & Lücking",NA,ICN,Aceptado,Nombre original validado: Graphis solmariana | Nuevo taxón incluido,es,CR
gbif.org/species/5261046,gbif.org/species/5261046,Myriotrema fragile,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Myriotrema,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Myriotrema,fragile,NA,Especie,(Hale) Hale,NA,ICN,Aceptado,Nombre original validado: Myriotrema fragile | Nuevo taxón incluido,es,CR
gbif.org/species/2602670,gbif.org/species/2602670,Ocellularia auberianoides,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Ocellularia,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Ocellularia,auberianoides,NA,Especie,(Nyl.) Müll.Arg.,NA,ICN,Aceptado,Nombre original validado: Ocellularia auberianoides | Nuevo taxón incluido,es,EN
