"AÑO 
(Año de registro)","AUTORIDAD AMBIENTAL
(Donde se encuentra el Negocio Verde)","REGIÓN
(Donde se encuentra el Negocio Verde)","DEPARTAMENTO
(Donde se encuentra el Negocio Verde)","MUNICIPIO
(Donde se encuentra el Negocio Verde)","RAZÓN SOCIAL
(Del Negocio Verde)","Descripción
(Del Negocio Verde)","CATEGORÍA
(Del Negocio Verde)","SECTOR
(Al cual pertenece el Negocio Verde)","SUBSECTOR
(Al cual pertenece el Negocio Verde)","Producto Principal
(Que promueve el Negocio Verde)","CATEGORÍA COMERCIAL
(Al cual pertenece el Negocio Verde)","NOMBRE REPRESENTANTE
(Del Negocio Verde)"
2022,CORPOCESAR,No registra,Cesar,Valledupar,Hoteles De Upar SAS,"Hoteles de Upar SAS, presta el servicio de hospedaje a todas las personas interesadas en pasar una o varias noches en el hotel. Los clientes hacen la reserva y el sistema bloquea las habitaciones. Una vez ingresado al hotel el huésped queda libre y puede acceder y disfrutar de todos los servicios que se ofrecen en este magnífico hospedaje. Este hotel se caracteriza por brindarle al cliente comodidad y el mejor trato, propenden por mostrarle a cada persona el aspecto cultural de la ciudad y las buenas costumbres de su población. El hotel hace promoción de sus servicios por medio de su página web y sus redes sociales con el fin de llegar a cada rincón del país. Hoteles de Upar SAS desarrolla variedad de actividades que generen impactos ambientales positivos. Para el ahorro de agua se realiza el reciclaje de agua de la piscina para el lavado de los filtros de la misma (retro lavado), también se aprovecha parte de esta agua reciclada para riego de los jardines y árboles de la vía pública, se hace aprovechamiento de agua lluvia para lavado de la terraza de piscina, se hace lavado de los tanques de agua cada 6 meses y se realiza el análisis físico químico y microbiológico del agua potable para establecer su calidad, se usan ahorradores con sensores de movimiento en lavamanos y sanitarios en baños del lobby y grifos tipo ganso (ahorrador de agua) en cocina. Se usan detergentes biodegradables para el servicio de la lavandería, se realiza pretratamientos a las aguas residuales, antes de ser vertidas con trampas de grasa, se caracterizan las aguas residuales vertidas. Para el ahorro de energía, el hotel cuenta con sensores en pasillos y áreas públicas, sus habitaciones cuentan con un sistema de automatización que enciende y apaga las luces y el aire acondicionado dentro de la habitación cuando el huésped entra o sale respectivamente, se programa el funcionamiento de la campana extractora de la cocina para que solo funcione en el horario de operación de la cocina. Los residuos son separados en la fuente entre reciclables, especiales, peligrosos, orgánicos y ordinarios a los cuales se les da el respectivo manejo con empresas especializadas. Los gases de refrigeración usados en el hotel son biodegradables en un 90%. El papel de impresión es usado por ambos lados. El desprendible de pago del personal se envía de forma digital y se implementa la facturación electrónica. A través de nuestro programa de Flora y Fauna, el hotel hace promoción de las zonas naturales de interés turístico siempre de manera responsable, así mismo se realizan campañas de rescate y protección de especies de fauna silvestre que ingresan al hotel. Todas estas buenas prácticas ambientales ayudan a la disminución del calentamiento global, disminución de la contaminación de fuentes hídricas y del suelo, protección de los ecosistemas, disminución de la huella de carbono y protección del medio ambiente.",2. Ecoproductos Industriales,2.3. Construcción sostenible,2.3.1. Construcción sostenible,Alojamiento,No registra,María Fernanda Villabona Hernández
2022,CORPOCESAR,No registra,Cesar,Agustín Codazzi,La Mellita,"La empresa la Mellita produce (queso de cabra y arequipe) a base de leche de cabra que cultiva bajo sistemas silvopastoriles. El empaque de los productos se realiza en empaques de vidrio y de plástico al vacío. Algunos de estos empaques de vidrio son reciclados en el municipio por medio de personas recicladoras que se encargan de recoger estos envases y entregarlos a la empresa. La Mellita realiza promoción de los productos por medio de las redes sociales, por este medio o por llamadas telefónicas los clientes pueden hacer pedidos y la empresa se encarga de hacer la distribución. El impacto ambiental positivo de la empresa se refleja al evitar que los vertimientos vayan al alcantarillado ya que el suero se utiliza para alimentar a las crías de cerdos evitando la contaminación de las fuentes hídricas y los ecosistemas de la región. Además, se reutilizan los envases de vidrio los cuales son recogidos por medio de recicladores de la región. La caprinaza se utiliza para abonar potreros evitando la contaminación del paisaje y la generación de olores ofensivos.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.1. Agroindustrial alimentario,Queso de cabra,No registra,Claudia Patricia Gomez Alvarez
2022,CORPOCESAR,No registra,Cesar,La Jagua de Ibirico,Vinos Kike,"El proceso de Vinos Kike comienza con la compra del corozo a los agricultores de la región, luego se realiza la clasificación, lavado, procesamiento, envasado y empaquetado. Quedando listo para su distribución y comercialización por medio de las redes sociales y un punto de venta físico ubicado en el municipio de la Jagua de Ibirico. El impacto ambiental positivo es evitar la contaminación por residuos orgánicos (pulpa de Corozo), ya que estos son entregados como suplemento para animales domésticos de los productores de la región evitando el deterioro de fuentes hídricas y de los suelos. Las botellas de vidrio que usa la empresa para el envase del vino provienen de un proceso de economía circular a través del reciclaje, limpieza y esterilización para luego ser reutilizadas, así mismo se le recomienda al usuario devolver el envase a la empresa con el propósito de que sea reutilizado. Con este proceso la empresa está contribuyendo a la reducción de la disposición de vidrio al relleno sanitario, así mismo disminuye las emisiones de gases de efecto invernadero, la contaminación de las fuentes hídricas, entre otros",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.1. Agroindustrial alimentario,Vino Artesanal de Corozo,No registra,Edgar Enrrique Daza Reyes
2022,CORPOCESAR,No registra,Cesar,Valledupar,Delitcha,"Delitcha, es una empresa que se encarga de realizar encurtidos y aderezos a base de verduras, las cuales son compradas a tiendas y mercados campesinos. Una vez realizado todo el procedimiento de producción Delitcha se encarga de realizar el empaque al vacío de las verduras en botellas de vidrio recicladas las cuales son esterilizadas a altas temperaturas. Finalmente se etiquetan y se les coloca una banda de seguridad quedando listos para su comercialización. Delitcha vende su producto a todo tipo de personas, las cuales hacen pedido por medio de las redes sociales de la empresa o por el número telefónico de la empresaria. Esta empresa hace promoción de sus productos por medio de las redes sociales de manera permanente manteniendo a sus consumidores al tanto de cada producto que va sacando al mercado. El impacto ambiental positivo se presenta en el momento de la transformación de las verduras y al momento de la producción, ya que los residuos orgánicos (restos de verduras) son utilizados como alimento para animales domésticos de sus vecinos y productores de cerdos, y los inorgánicos (plásticos, cartón), son entregados a recicladores del municipio lo que evita que estos residuos generados vayan al relleno sanitario impidiendo la contaminación y la sobre explotación del relleno. También se regalan las semillas generadas a los campesinos para seguir cultivando lo que conlleva de uno u otra manera a la siembra de plantas que mitigan el calentamiento global.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.1. Agroindustrial alimentario,Encurtidos y Aderezos,No registra,Graciela Alix Ramos Fernández
2022,CORPOCESAR,No registra,Cesar,Valledupar,Fundación Mentes Brillantes Para El Mundo,"Fundación Mentes Brillantes Para el Mundo es una empresa que presta el servicio de ejecución de plan de envases y empaques amparados bajo la resolución 147 de 2008, la cual reglamenta la gestión ambiental de los residuos de envases y empaques de papel, cartón plástico, vidrio, metal. Esta empresa contrata y presta estos servicios a las organizaciones con conciencia ambiental de sus residuos, donde las actividades que realizan es la recolección, separación, clasificación y sensibilación sobre el uso adecuado de los residuos sólidos inorgánicos de estas organizaciones. Luego entregan los residuos reciclados y clasificados a un negocio verde llamada Ingequilibrio SAS la cual se encarga de transformar estos residuos y devolverlos a la vida útil, este proceso genera un encadenamiento regional entre negocios verdes, aportado al desarrollo y crecimiento de las empresas. Además de esto Fundación Mentes Brillantes realizan la conservación y siembra del bosque tropical seco, mitigando la deforestación en diferentes zonas. también se ofrece el servicio de compensación ambiental para las empresas por medio de la siembra de árboles. Fundación mentes brillantes hace promoción de los servicios que presta por medio de sus redes sociales. El impacto ambiental de la empresa es la mitigación de la huella de carbono por la recolección de residuos no aprovéchales, lo que evita a su vez que estos residuos vayan al relleno sanitario, la disminución del cambio climático por medio de la reforestación y la restructuración de los suelos, lo que contribuye a prevenir la erosión de los suelos y la sedimentación de fuentes hídricas.",2. Ecoproductos Industriales,2.1. Aprovechamiento y valoración de Residuos,2.1.2. Aprovechamiento de residuos inorgánicos,"Plan envases y empaques (recolección, separación, clasificación)",No registra,Niriam Avendaño Agudelo
2022,CORPOCESAR,No registra,Cesar,Aguachica,Numa movimientos SAS,"La empresa Numa movimientos comienza el proceso transportando los residuos del ganado desde la planta frigorífica Alimentos Cárnicos, hasta la planta de Numa Orgánicos, una vez llegado los residuos son dispuestos en la planta de Numa Orgánicos y acomodado en pilas, donde se hace el todo proceso de transformación en abono orgánico, luego se pulveriza y se empaca en bultos de 40 kg para su venta. La empresa realiza la promoción de su producto por medio de las redes sociales. El producto es vendido agricultores de toda la región y a nivel nacional. El impacto ambiental positivo es evitar la disposición a cielo abierto de los residuos resultantes de la frigorífica y con esto la contaminación atmosférica, la degradación de suelos, el deterioro de las fuentes hídricas, y la generación de vectores que afectan la salud pública, ya que todos estos residuos son aprovechados y convertidos en abono orgánico, haciendo doble beneficio al medio ambiente y a la sociedad en general.",2. Ecoproductos Industriales,2.1. Aprovechamiento y valoración de Residuos,2.1.1. Aprovechamiento de residuos orgánicos,Abonos Organicos,No registra,Mario Sanchez Medina
2022,CORPOCESAR,No registra,Cesar,Aguachica,Reaces SAS,"La empresa Reaces SAS comienza su proceso realizando la recolección de los aceites usados en los domicilios ubicados a nivel municipal y regional, luego transporta los aceites hasta su oficina, para después realizar la clasificación y almacenamiento, seguido de esto realizan la disposición final llevando todos los aceites recuperados hasta las empresas transformadores de este aceite en combustible como COBRECOL SAS, REACEICO SAS, BIOILS COLOMBIA SAS, AMBIENTAL QUALITY SAS. Reaces SAS compra los aceites usados a todo tipo de personas asentadas en la región las cuales se enteran por medio de las redes sociales de la actividad de esta empresa y además de la voz a voz que se realiza en cada uno de los barrios a través de los clientes de la empresa. El gran impacto ambiental positivo es evitar el vertimiento de aceite de cocina al alcantarillado y por consiguiente evitar la contaminación de las fuentes hídricas de toda la región, evitando la alteración del paisaje y la perdida de los ecosistemas.",2. Ecoproductos Industriales,2.1. Aprovechamiento y valoración de Residuos,2.1.2. Aprovechamiento de residuos inorgánicos,Aceite de cocina usado,No registra,Selkin Eduardo Santiago Trigos
2022,CORPOCESAR,No registra,Cesar,Río de Oro,Asociación Manos Creando,"El modelo o proceso de la empresa Manos Creando, comienza realizando una recolección de residuos sólidos, los cuales recicla para su beneficio, entre ellos se encuentran; botellas, papel, icopor, cartón, además de estos reutiliza un producto líquido como es el aceite de carro y moto usado. Posteriormente se realiza la selección, clasificación, desinfección y limpieza del material. El proceso continúa con el forrado de las botellas con el papel reciclado y la elaboración de una máscara a base de papel, continuando con el ensamble, pintura y acabados. El diseño de la botella se puede desarrollar a gusto del consumidor. Los mecanismo de promoción que utiliza el negocio son; redes sociales, voz a voz, ferias comerciales, entre otras. El impacto ambiental positivo lo genera la empresa a partir del proceso de economía circular en el reciclaje y reutilización de materiales contaminantes como lo son el vidrio, el papel, el cartón entre otros. La empresa contribuye a la reducción de residuos contaminantes que llegan al relleno sanitario de la región.",2. Ecoproductos Industriales,2.1. Aprovechamiento y valoración de Residuos,2.1.2. Aprovechamiento de residuos inorgánicos,Botellas Artesanales (artesanías),No registra,Lucas Bernardo Uribe
2022,CORPOCESAR,No registra,Cesar,San Martín - Ces,La Pecuaria,"El proceso en la empresa La Pecuaria comienza con la siembra de la moringa, planta que utilizan para hacer el concentrado, luego se realiza corte, secado, molienda y pulverizado. se hace el proceso de peletizado y finalmente se realiza el empaque en costales polipropileno y se distribuye a los clientes. Los mecanismos de promoción que utiliza el negocio son; las redes sociales, la televisión, la radio, y las ferias comerciales. La Pecuaria comercializa su producto a los campesinos y productores del municipio y la región. Mediante la siembra de la moringa se beneficia al clima convirtiendo co2 en oxígeno, regulando el clima, y aportando a la disminución del cambio climático. Además de esto se utilizan materias primas de origen orgánicas, lo que evita la utilización de harinas de origen animal, evitando la degradación de la biodiversidad y los ecosistemas.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.2. Agroindustrial no alimentario,Suplemento concentrado balanceado Eco,No registra,Byron Gerardo Hernandez Gomez
2022,CAM,No registra,Huila,Campoalegre,L y M Vid Inversiones SAS - Hotel Casa Bohemia,"La empresa L y M Vid Inversiones SAS, presta el servicio de alojamiento en un hotel ubicado en el área rural del municipio de Campoalegre en el departamento del Huila, prestando un servicio de calidad a turistas nacionales e internacionales. Realizan actividades de senderismo por viñedos,implementando en sus cultivos de uva un sistema de agroecología, usando bobones, elaboración de compost y un sistema de riego por goteo, lo que permite el no uso de abonos de síntesis química y un adecuado manejo y ahorro del agua. Prestan el servicio de piscina bajo la normatividad vigente colombiana, son también productores de cerveza, por tal motivo los visitantes tienen la oportunidad de disfrutar del denominado Tour de la Cerveza. Parte de las instalaciones del hotel, funcionan con paneles solares, evitando asi el alto consumo de energía y poseen infraestructura para reserva de agua lluvias, promueven la protección de cuencas hídricas, un ejemplo de esto es la protección del área de reserva natural junto a la quebrada que pasa por el predio donde está ubicado el hotel, generando así la proliferación de flora y fauna. En las áreas de zona verde, reforestan con árboles nativos, los cuales con el transcurrir de los años proveerán sombrío al interior de las instalaciones donde se ubica el hotel.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.3. Biocomercio,1.3.2. Turismo de naturaleza,Alojamiento,No registra,Lina Fernanda Cortéz Ortiz
